resource.id,name.given,name.family,identifier.system,identifier.value,telecom.value,gender,address.text
Practitioner-JudySmiley,Judy,Smiley,,,,female,
Practitioner-RonMarble,Ron,Marble,,,,male,
Practitioner-LisaGreene,Lisa,Greene,,,,female,
Practitioner-DonHopmed,Don,Hopmed,,,,male,
Practitioner-SallySmart,Sally,Smart,,,,female,
Practitioner-JennyGlass,Jenny,Glass,,,,female,
Practitioner-NoraOlogist,Nora,Ologist,http://hl7.org/fhir/sid/us-npi,3668788925,(210) 555 7632,female,
Practitioner-LiaNguyen,Lia,Nguyen,,,,female,
Practitioner-JenCadbury,Jen,Cadbury,http://hl7.org/fhir/sid/us-npi,1928374650,(210) 555 1871,female,
Practitioner-CheriseLangford,Cherise,Langford,,,,female,
Practitioner-AlexanderKuikhoff,Alexander,Kuikhoff,,,,male,
Practitioner-MariaGonzalez,Maria,Gonzalez,,,,female,
Practitioner-RayMancioni,Ray,Mancioni,,,,male,
Practitioner-DanielGranger,Daniel,Granger,,,,male,
Practitioner-HoneyJones,Honey,Jones,,,,female,
Practitioner-SummerJohnson,Summer,Johnson,http://hl7.org/fhir/sid/us-npi,9876543210,(210) 555 7632,female,
Practitioner-JohnSmith,John,Smith,http://hl7.org/fhir/sid/us-npi,2345678901,(210) 564 1389,male,
Practitioner-AnitaChu,Anita,Chu,http://hl7.org/fhir/sid/us-npi,2346547890,(616) 555-1212,female,
Practitioner-ScottDumble,Scott,Dumble,,,(210) 555 1399,male,
Practitioner-LunaBaskins,Luna,Baskins,,,,female,
Practitioner-TamaraRodriguez,Tamara,Rodriguez,,,(210) 555 2089,female,
Practitioner-JacobHartwell,Jacob,Hartwell,,,,male,
Practitioner-JillBradley,Jill,Bradley,,,,female,
